CANONICAL_ID,VIEWPORT,REFERENCE_FILE,IMPLEMENTATION_FILE,SIDE_BY_SIDE_FILE,DIFF_FILE,REFERENCE_SHA256_16,IMPLEMENTATION_SHA256_16,DRIVE_FILE_ID,DRIVE_FOLDER,READBACK_STATUS
1a,mobile,references/1a__mobile__reference.png,implementations/1a__mobile__implementation.png,side-by-side/1a__mobile__side-by-side.png,diff/1a__mobile__diff.png,a210eca264cfe116,f1f057b0f5755895,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1a,tablet-portrait,references/1a__tablet-portrait__reference.png,implementations/1a__tablet-portrait__implementation.png,side-by-side/1a__tablet-portrait__side-by-side.png,diff/1a__tablet-portrait__diff.png,a210eca264cfe116,d1d335205d449a81,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1a,tablet-landscape,references/1a__tablet-landscape__reference.png,implementations/1a__tablet-landscape__implementation.png,side-by-side/1a__tablet-landscape__side-by-side.png,diff/1a__tablet-landscape__diff.png,a210eca264cfe116,8f49770261d5eac7,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1a-1,mobile,references/1a-1__mobile__reference.png,implementations/1a-1__mobile__implementation.png,side-by-side/1a-1__mobile__side-by-side.png,diff/1a-1__mobile__diff.png,ac7ed529156a33ed,7c5ee018f05f38b3,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1a-1,tablet-portrait,references/1a-1__tablet-portrait__reference.png,implementations/1a-1__tablet-portrait__implementation.png,side-by-side/1a-1__tablet-portrait__side-by-side.png,diff/1a-1__tablet-portrait__diff.png,ac7ed529156a33ed,fec43c7ba4bd951c,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1a-1,tablet-landscape,references/1a-1__tablet-landscape__reference.png,implementations/1a-1__tablet-landscape__implementation.png,side-by-side/1a-1__tablet-landscape__side-by-side.png,diff/1a-1__tablet-landscape__diff.png,ac7ed529156a33ed,6b5b38c763eb8ebb,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1b,mobile,references/1b__mobile__reference.png,implementations/1b__mobile__implementation.png,side-by-side/1b__mobile__side-by-side.png,diff/1b__mobile__diff.png,34f90355b50a9da2,8f4b997cdc959c24,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1b,tablet-portrait,references/1b__tablet-portrait__reference.png,implementations/1b__tablet-portrait__implementation.png,side-by-side/1b__tablet-portrait__side-by-side.png,diff/1b__tablet-portrait__diff.png,064aff99af18b5dd,43b273f116830683,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1b,tablet-landscape,references/1b__tablet-landscape__reference.png,implementations/1b__tablet-landscape__implementation.png,side-by-side/1b__tablet-landscape__side-by-side.png,diff/1b__tablet-landscape__diff.png,89b615291eeb16fe,195f4352811c383c,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1c,mobile,references/1c__mobile__reference.png,implementations/1c__mobile__implementation.png,side-by-side/1c__mobile__side-by-side.png,diff/1c__mobile__diff.png,76a73ac21f6e3604,02cafd8c888b7d2b,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
