category,raw_value,occurrence_count
font-size,11px,73
font-size,13px,69
font-size,12px,60
font-size,10px,58
font-size,14px,54
font-size,15px,33
font-size,16px,24
font-size,9px,20
font-size,12.5px,19
font-size,13.5px,17
font-size,20px,16
font-size,19px,12
font-size,17px,11
font-size,26px,5
font-size,18px,5
font-size,11.5px,5
font-size,30px,3
font-size,24px,2
font-size,37px,1
font-size,31px,1
font-size,28px,1
font-size,27px,1
font-size,36px,1
font-size,22px,1
font-size,21px,1
font-size,10.5px,1
