category,raw_value,occurrence_count
padding,13px 14px,17
padding,10px 30px 0,9
padding,2px,9
padding,8px 14px,8
padding,0 2px,8
padding,8px 18px,8
padding,4px 10px,7
padding,7px 20px 5px,7
padding,8px,6
padding,15px 16px,6
padding,16px 24px,6
padding,3px 10px,5
padding,4px 12px,5
padding,5px 11px,5
padding,12px,4
padding,16px,4
padding,14px,4
padding,24px 8px 8px,4
padding,8px 16px 12px,4
padding,3px 0 6px,4
padding,3px 12px,3
padding,2px 6px,3
padding,3px 0 5px,3
padding,11px 26px,3
padding,20px,3
padding,9px 14px,3
padding,12px 14px,3
padding,9px,3
padding,0 3px 2px,3
padding,11px,2
padding,14px 16px,2
padding,7px 14px,2
padding,10px,2
padding,12px 8px,2
padding,12px 0 0,1
padding,16px 18px 12px,1
padding,4px 4px 0,1
padding,10px 0 0,1
padding,22px 20px 16px,1
padding,13px 16px,1
padding,4px 2px 0,1
padding,10px 18px 12px,1
padding,15px 20px,1
padding,9px 22px,1
padding,4px 16px 11px,1
padding,2px 12px,1
padding,10px 8px,1
padding,10px 12px,1
padding,8px 18px 7px,1
padding,4px 16px 0,1
padding,4px 14px,1
padding,7px 12px,1
padding,7px 14px 4px,1
padding,5px 10px 5px 8px,1
padding,26px 20px,1
padding,34px 40px,1
padding,14px 20px,1
padding,15px 24px,1
padding,16px 18px,1
padding,12px 20px,1
padding,18px 24px,1
padding,9px 16px,1
padding,20px 24px,1
padding,8px 12px,1
padding,3px,1
padding,13px,1
padding,14px 12px,1
padding,0 4px,1
padding,8px 4px 0,1
