category,raw_value,occurrence_count
border-radius,50%,108
border-radius,999px,50
border-radius,1px,45
border-radius,12px,22
border-radius,18px,19
border-radius,14px,18
border-radius,20px,14
border-radius,3px,11
border-radius,16px,10
border-radius,10px,10
border-radius,44px,9
border-radius,2px,9
border-radius,4px,9
border-radius,6px,7
border-radius,8px,7
border-radius,24px,6
border-radius,6px 18px 18px 18px,6
border-radius,5px,5
border-radius,7px,5
border-radius,22px,4
border-radius,34px 34px 44px 44px,2
border-radius,26px,2
border-radius,28px,1
border-radius,20px 20px 6px 20px,1
border-radius,18px 6px 18px 18px,1
border-radius,20px 0 0 20px,1
