category,raw_value,occurrence_count
box-shadow,"0 5px 16px rgba(60,30,120,.05)",15
box-shadow,"0 30px 70px rgba(40,20,90,.22)",9
box-shadow,"0 6px 18px rgba(60,30,120,.07)",3
box-shadow,"0 7px 16px rgba(70,35,180,.26)",3
box-shadow,"0 -8px 30px rgba(60,30,120,.10)",2
box-shadow,"0 0 0 4px rgba(90,53,223,.10)",1
box-shadow,"0 10px 22px rgba(70,35,180,.28)",1
box-shadow,"0 3px 10px rgba(60,30,120,.14)",1
box-shadow,"0 8px 18px rgba(70,35,180,.30)",1
box-shadow,"0 6px 14px rgba(50,25,110,.16)",1
box-shadow,"0 6px 18px rgba(60,30,120,.06)",1
box-shadow,"0 6px 16px rgba(60,30,120,.07)",1
box-shadow,"0 6px 14px rgba(70,35,180,.32)",1
box-shadow,"0 30px 70px rgba(40,20,90,.20)",1
box-shadow,-1px 0 0 #F0EEF7,1
box-shadow,"0 8px 18px rgba(70,35,180,.24)",1
