category,raw_value,occurrence_count
width,30px,39
width,4px,37
width,3px,36
width,36px,21
width,34px,16
width,24px,13
width,38px,13
width,42px,12
width,15px,11
width,480px,9
width,132px,9
width,22px,7
width,7px,7
width,78px,6
width,26px,6
width,44px,5
width,52px,3
width,48px,3
width,74px,3
width,64px,3
width,32px,3
width,210px,2
width,150px,2
width,14px,2
width,64%,2
width,100%,2
width,66px,2
width,120px,1
width,19px,1
width,13px,1
width,28px,1
width,9px,1
width,96px,1
width,70px,1
width,60%,1
width,10px,1
width,1440px,1
width,300px,1
width,130px,1
width,40px,1
width,18px,1
width,20px,1
width,50%,1
width,80%,1
width,75%,1
